from_user,text,created_at
borhaninio,#حازمون #ابو_اسماعيل مصر ما تستجرااااااااااااااااااااااااااش تزور ورق للحكومة الأمريكية......أنتو أيه؟؟؟؟ مابتفهموش؟؟؟!!!!!!!!!!,16/04/2012 22:46
Ayassen_eg,الحلقه رقم 1 من المسلسل الكوميدي #الحمار_حمار.. \nبخصوص استبعاد #حازم_صلاح #ابواسماعيل #ابو_اسماعيل #hazemsalah #حازمون http://t.co/hjjUPwDH,16/04/2012 22:45
Egyptianawy2011,انصار #ابو_اسماعيل بيقولو لو فيها فساد حي على الجهاد احيه احيه ..بس بردو مش هيقدرو يعملو حاجه دول ناس بسيطه وفاهمه الدنيا غلط محدش يخاف منهم,16/04/2012 22:40
MohamedGade,RT @fouadmohamed: انا خايف يا يطلع ابو اسماعيل هو اللي نام مكان الرسول يوم ما كان الكفار عايزين يقتلوه #ابو_اسماعيل,16/04/2012 22:39
fouadmohamed,اتوبيس #ابوالفتوح كان معدي في صلاح سالم وطالع على الوايلي..وخد معاه أنصار #ابو_اسماعيل في السكة,16/04/2012 22:38
hanysaber79,انا خايف يا يطلع ابو اسماعيل هو اللي نام مكان الرسول يوم ما كان الكفار عايزين يقتلوه #ابو_اسماعيل,16/04/2012 22:37
MASRY_WAFTAKHER,RT @mohamedaminmasa: #ابو_اسماعيل نيو ڤيرجين من اوباما شخصيآ\n#حازمون #كاذبون http://t.co/CYH5p9eC,16/04/2012 22:36
Shereenism,"RT @Wild_atHeart: ولما حد بيكتب ""الدقون"" غالباً مابقراش باقي التويتة، احترم الناس لو عايزهم يحترموك #مصر #حازمون #ابو_اسماعيل",16/04/2012 22:35
MahmoudRabi3,ابليكشن طلب الجنسية الأمريكية من الدكتورة نوال نور والدة حازم صلاح #ابو_اسماعيل,16/04/2012 22:35
tweetThawra,#ابو_اسماعيل - ولاد أبو إسماعيل اتجننواااا خلاااااااااااااص اتفرجوا علي الجزيرة مباشر مصر,16/04/2012 22:33
negroomufc,"عشنا و شوفنا بيستدلوا في صفحة "" لا لحكم العلمانيين و الليبرالين لمصر "" بكلام علاء الأسواني\n#HowStrange #حازمون #ابو_اسماعيل",16/04/2012 22:32
Wild_atHeart,لازم  اللجنه العليا للانتخابات تقول لحازم امك امريكيه وده رقم جواز السفر اللي بيثبت ده ما غير ذلك هيأكد ان فيه لعب #حازمون #ابو_اسماعيل,16/04/2012 22:32
SHAWSHANK5,"ولما حد بيكتب ""الدقون"" غالباً مابقراش باقي التويتة، احترم الناس لو عايزهم يحترموك #مصر #حازمون #ابو_اسماعيل",16/04/2012 22:31
uskamalzeid,RT @uskamalzeid: #ابو_اسماعيل ياناس لازم حد يوقف المهزله اللي بتحصل باسم الاسلام ده ! ياجماعة مش معقول الناس دي في غيبوبه ومسيطر عليها منافق وكداب !! حرام !,16/04/2012 22:31
karemsakr,#ابو_اسماعيل ياناس لازم حد يوقف المهزله اللي بتحصل باسم الاسلام ده ! ياجماعة مش معقول الناس دي في غيبوبه ومسيطر عليها منافق وكداب !! حرام !,16/04/2012 22:30
thetharwat,هو بكرة نتيجة التظلم؟ #حازمون #ابو_اسماعيل,16/04/2012 22:27
