,from_user,text,created_at
2166,mohamedawad_lab,ابو اسماعيل يجب عليك احترام الاسلام  اذا كنت مسلم بداخلك  واترك طمعك فى السلطه  حتر يرضى الله عنك  مع احترامى لك مويد لابو اسماعيل,17/04/2012 19:39
2167,heroman_love,  انا عايزه اقولكم تروحوا تلعبوا في ابو اسماعيل بتاعكو دا بعيد بس ماسكه نفسي,17/04/2012 19:39
2168,tghs_10,انتخابات الرئاسه ابو اسماعيل بيغنى ظلموه ابو الفتوح  بيسمع المولد,17/04/2012 19:39
2169,king_ocean91,الان لا احترم ابو اسماعيل اكتر من اي وقت الرجل سيتخلي عن انصاره في طرفه عين اول ما العسكري يدلدله منصب ما سترون بدايتها كذب اخرها نصب,17/04/2012 19:39
2170,ahmed_abo_ahmed,انتحار صاحب مطبعه بوسترات ابو اسماعيل للمره الرابعه على التوالى ,17/04/2012 19:38
2171,pureegyptianman,ما تتهدوا بقا هوا ايه بالعافيه هوا البعيد معندهوش دم ابو اسماعيل,17/04/2012 19:38
2172,DR_Ibrahim_Gad,   الان لا احترم ابو اسماعيل اكتر من اي وقت الرجل سيتخلي عن انصاره في طرفه عين اول ما العسكري يدلدله منصب ما سترون بدايتها كذب اخرها نصب,17/04/2012 19:38
2173,ENN_News,انتو رخاص اوي اصلكم روحوا اعملوا حاجه مفيده ابو اسماعيل ايه و بتاع ايه,17/04/2012 19:38
2174,mazajy222,   واخيرا انتصر الاسلام وتم استبعاد حازم ابو اسماعيل حازمون,17/04/2012 19:38
2175,Mbarakat61,مره ناس معتصمين عشان واحد والواحد سابهم وروح نام ابو اسماعيل فين ابو اسماعيل,17/04/2012 19:39
2176,Aegyptius,  مره ناس معتصمين عشان واحد والواحد سابهم وروح نام ابو اسماعيل فين ابو اسماعيل,17/04/2012 19:39
2177,romeo2020202020,اطالب الستات المعتصمين عشان ابو اسماعيل  بتخييط العبايه والبعد عن الكباسيين فين ابو اسماعيل,17/04/2012 19:39
2178,MonaSaeed155,نادر بكار بيفشخ  وانا ويااااك  بعوووك فقالوا ابو اسماعيل,17/04/2012 19:40
2179,Shoyma,  بكار مايحدث من انصار  ابواسماعيل لايمت للمنهج السلفي بصلهنادر بكار ابو اسماعيل سلفى   اخوان ,17/04/2012 19:40
2180,malekadly,و من هنا ياتي المبرر المفتعل لتاجيل الانتخابات الرئاسيه ابو اسماعيل  ,17/04/2012 19:40
2181,Rehanmohamed_m,هو هرب بصحيح وساب العيال بتوع فى الشارع لوحدهم  ابو اسماعيل,17/04/2012 19:41
